"Rank","NCT Number","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Study Type","Locations","Study Documents","URL"
60,"NCT04328272","Effectiveness of Hydroxychloroquine in Covid-19 Patients","Not yet recruiting","No Results Available","COVID19","Drug: Hydroxychloroquine 200 Mg Oral Tablet|Drug: Azithromycin 500Mg Oral Tablet|Dietary Supplement: Glucose tablets","Prof. Dr. Umar Farooq|Ayub Medical College, Abbottabad","Interventional","Ayub Teaching Institution, Abbottābād, K.p.k, Pakistan",,"https://ClinicalTrials.gov/show/NCT04328272"
61,"NCT04388683","Inhaled Nitric Oxide for Preventing Progression in COVID-19","Active, not recruiting","No Results Available","COVID-19","Drug: Nitric Oxide","Tufts Medical Center|Bellerophon","Interventional","Tufts Medical Center, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04388683"
62,"NCT04625972","Phase III Double-blind, Placebo-controlled Study of AZD7442 for Post- Exposure Prophylaxis of COVID-19 in Adults","Recruiting","No Results Available","COVID-19","Drug: AZD7442|Drug: Placebo","AstraZeneca|QuintilesIMS","Interventional","Research Site, Birmingham, Alabama, United States|Research Site, Guntersville, Alabama, United States|Research Site, Montgomery, Alabama, United States|Research Site, Tempe, Arizona, United States|Research Site, Little Rock, Arkansas, United States|Research Site, Corona, California, United States|Research Site, Garden Grove, California, United States|Research Site, Huntington Beach, California, United States|Research Site, Huntington Park, California, United States|Research Site, Modesto, California, United States|Research Site, Coral Springs, Florida, United States|Research Site, Miami Lakes, Florida, United States|Research Site, Miami Lakes, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Mount Dora, Florida, United States|Research Site, Ocala, Florida, United States|Research Site, Ocala, Florida, United States|Research Site, Pembroke Pines, Florida, United States|Research Site, Tampa, Florida, United States|Research Site, West Palm Beach, Florida, United States|Research Site, Winter Haven, Florida, United States|Research Site, Atlanta, Georgia, United States|Research Site, Buford, Georgia, United States|Research Site, Conyers, Georgia, United States|Research Site, Honolulu, Hawaii, United States|Research Site, Chicago, Illinois, United States|Research Site, Chicago, Illinois, United States|Research Site, Hazel Crest, Illinois, United States|Research Site, Greenwood, Indiana, United States|Research Site, Ankeny, Iowa, United States|Research Site, Wichita, Kansas, United States|Research Site, Owensboro, Kentucky, United States|Research Site, Bethesda, Maryland, United States|Research Site, Kansas City, Missouri, United States|Research Site, Omaha, Nebraska, United States|Research Site, Charlotte, North Carolina, United States|Research Site, Fayetteville, North Carolina, United States|Research Site, Wilmington, North Carolina, United States|Research Site, Greer, South Carolina, United States|Research Site, Dakota Dunes, South Dakota, United States|Research Site, Rapid City, South Dakota, United States|Research Site, Arlington, Texas, United States|Research Site, Austin, Texas, United States|Research Site, Cypress, Texas, United States|Research Site, Dallas, Texas, United States|Research Site, El Paso, Texas, United States|Research Site, Friendswood, Texas, United States|Research Site, Gonzales, Texas, United States|Research Site, Harlingen, Texas, United States|Research Site, Houston, Texas, United States|Research Site, McKinney, Texas, United States|Research Site, San Antonio, Texas, United States|Research Site, Waxahachie, Texas, United States|Research Site, Riverton, Utah, United States|Research Site, Norfolk, Virginia, United States|Research Site, Portsmouth, Virginia, United States|Research Site, Richmond, Virginia, United States|Research Site, Tacoma, Washington, United States|Research Site, London, United Kingdom|Research Site, London, United Kingdom|Research Site, Manchester, United Kingdom|Research Site, Southampton, United Kingdom|Research Site, Wakefield, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04625972"
63,"NCT04461340","Efficacy and Safety of Sirolimus in COVID-19 Infection","Recruiting","No Results Available","COVID 19","Drug: Sirolimus","Alexandria University","Interventional","Faculty of Medicine, Alexandria university, Egypt, Alexandria, Egypt",,"https://ClinicalTrials.gov/show/NCT04461340"
64,"NCT04377763","Developement and Evaluation of Serological Assays for COVID-19","Recruiting","No Results Available","COVID-19",,"Assistance Publique - Hôpitaux de Paris","Observational","Laboratory of microbiology of hospital hygiene, Ambroise Paré Hospital, APHP, Boulogne-Billancourt, France",,"https://ClinicalTrials.gov/show/NCT04377763"
65,"NCT04345679","Anti COVID-19 Convalescent Plasma Therapy","Recruiting","No Results Available","COVID 19","Biological: anti-SARS-CoV-2 convalescent plasma","Orthosera Kft.|Semmelweis University|University of Pecs|Hungarian National Blood Service|Humán Bioplazma Kft - Kedrion","Interventional","Semmelweis University's Department of Pulmonology, Budapest, Hungary",,"https://ClinicalTrials.gov/show/NCT04345679"
66,"NCT04680819","Evaluation of the Effect of Anatolian Propolis on Covid-19 in Healthcare Professionals","Not yet recruiting","No Results Available","Covid19","Dietary Supplement: Anatolian Propolis","Ataturk University","Observational",,,"https://ClinicalTrials.gov/show/NCT04680819"
67,"NCT04490174","Serological Surveillance for COVID-19 in Central North Carolina","Recruiting","No Results Available","COVID-19",,"National Institute of Environmental Health Sciences (NIEHS)|National Institutes of Health Clinical Center (CC)","Observational","NIEHS Clinical Research Unit (CRU), Research Triangle Park, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04490174"
68,"NCT04578158","Trial to Study the Adjuvant Benefits of Quercetin Phytosome in Patients With COVID-19","Recruiting","No Results Available","COVID-19","Drug: Standard COVID-19 care|Dietary Supplement: Quercetin Phytosome","Liaquat University of Medical & Health Sciences","Interventional","Liaquat University Hospital, Jāmshoro, Sindh, Pakistan",,"https://ClinicalTrials.gov/show/NCT04578158"
69,"NCT04586413","Post Acute COVID-19 Quality of Life (PAC-19QoL) Tool Development and Patient Registry (PAC-19QoLReg)","Recruiting","No Results Available","Covid19","Other: No intervention - quality of life measure","Medialis Ltd.","Observational","Medialis, Oxford, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04586413"
70,"NCT04577534","COVID-19: Salvage TOcilizumab as a Rescue Measure","Recruiting","No Results Available","Covid19","Drug: iv Tocillizumab (TCZ)","Jarmo Oksi|Turku University Hospital","Interventional","Turku University Hospital, Turku, Finland",,"https://ClinicalTrials.gov/show/NCT04577534"
71,"NCT04421534","Utility of Lactoferrin as an Adjunct Therapeutic Agent for COVID-19","Not yet recruiting","No Results Available","COVID-19","Drug: Lactoferrin","Cairo University","Interventional",,,"https://ClinicalTrials.gov/show/NCT04421534"
72,"NCT04537559","Impact of COVID-19 Outbreak on Non-COVID-19 Patients","Enrolling by invitation","No Results Available","COVID-19",,"University Hospital, Geneva|Thomas Agoritsas|Sebastian Carballo|Pauline Darbellay|Olivier Grosgurin|Christophe Marti|Mathieu Nendaz|Jean-Luc Reny|Jacques Serratrice|Aimad Ourahmoune|Delphine Courvoisier|Virginie Prendki|Christine Serratrice|Dina Zekry|Omar Kherad|Eric Gerstel","Observational","Geneva University Hospital, Geneva, Canton De Genève, Switzerland",,"https://ClinicalTrials.gov/show/NCT04537559"
73,"NCT04542421","Lung Ultrasound Implementation in the Management of Patients Hospitalized With COVID-19","Recruiting","No Results Available","Covid19","Diagnostic Test: Lung ultrasound use in patients hospitalized with COVID","University of Colorado, Denver","Interventional","University of Colorado, Denver, Colorado, United States",,"https://ClinicalTrials.gov/show/NCT04542421"
74,"NCT04501796","A Trial of NT-I7 in COVID-19 (SPESELPIS)","Recruiting","No Results Available","COVID-19","Drug: Double-Blind NT-I7|Drug: Double-Blind Placebo","NeoImmuneTech","Interventional","Nih/Niaid, Bethesda, Maryland, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States",,"https://ClinicalTrials.gov/show/NCT04501796"
75,"NCT04639440","Impact of Adipose Tissue in COVID-19","Not yet recruiting","No Results Available","Covid19","Other: Adipose tissue","Assistance Publique - Hôpitaux de Paris","Observational","Hôpital de la Pitié Salpêtrière, Paris, France",,"https://ClinicalTrials.gov/show/NCT04639440"
76,"NCT04428801","Autologous Adipose-derived Stem Cells (AdMSCs) for COVID-19","Not yet recruiting","No Results Available","COVID-19","Biological: autologous adipose-derived stem cells","Celltex Therapeutics Corporation","Interventional",,,"https://ClinicalTrials.gov/show/NCT04428801"
77,"NCT04610554","Lung Diffusing Capacity for Nitric Oxide and Carbon Monoxide Early After Mild-to-severe COVID-19","Completed","No Results Available","COVID-19 Pneumonia",,"IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy","Observational","IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy",,"https://ClinicalTrials.gov/show/NCT04610554"
78,"NCT04628039","Chronic Lung Disease and COVID-19: Understanding Severity, Recovery and Rehabilitation Needs","Not yet recruiting","No Results Available","COVID-19","Other: Rehabilitation-focused program","VA Office of Research and Development","Interventional","VA Puget Sound Health Care System Seattle Division, Seattle, WA, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT04628039"
79,"NCT04485130","DISulfiram for COvid-19 (DISCO) Trial","Not yet recruiting","No Results Available","Covid19","Drug: Disulfiram|Drug: Placebo","University of California, San Francisco","Interventional","University of California San Francisco, Fresno, Fresno, California, United States|San Francisco General Hospital, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT04485130"
80,"NCT04370288","Clinical Application of Methylene Blue for Treatment of Covid-19 Patients","Recruiting","No Results Available","Covid-19","Drug: MCN (Methylene blue, vitamin C, N-acetyl cysteine)","Mashhad University of Medical Sciences","Interventional","Imam Reza Hospital, Mashhad, Razavi Khorasan, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT04370288"
81,"NCT04321421","Hyperimmune Plasma for Critical Patients With COVID-19","Completed","No Results Available","COVID-19","Other: hyperimmune plasma","Foundation IRCCS San Matteo Hospital|OSPEDALE CARLO POMA ASST MANTOVA","Interventional","Catherine Klersy, Pavia, PV, Italy|Ospedale Asst Carlo Poma Mantova, Mantova, Italy",,"https://ClinicalTrials.gov/show/NCT04321421"
82,"NCT04572412","Low Dose Lung Radiotherapy to Treat COVID-19 Pneumonia","Recruiting","No Results Available","Covid19","Radiation: Low dose Radiotherapy","Lancashire Teaching Hospitals NHS Foundation Trust|NIHR Lancashire Clinical Research Facility","Interventional","Lancashire Teaching Hospitals NHS, Preston, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04572412"
83,"NCT04431908","Validation of a Rapid Quantitative Test for Loss of Smell in COVID-19 Subjects","Recruiting","No Results Available","COVID-19","Device: olfactory device","Yale University","Observational","Yale New Haven Hospital, New Haven, Connecticut, United States",,"https://ClinicalTrials.gov/show/NCT04431908"
84,"NCT04646031","Expanded Access to T89 for Treatment Use in Intermediate-size Patients Population With COVID-19","Available","No Results Available","Covid19","Drug: T89 capsule","Tasly Pharmaceuticals, Inc.|Tasly Pharmaceutical Group Co., Ltd","Expanded Access:Intermediate-size Population","MultiCare Health System, Tacoma, Washington, United States",,"https://ClinicalTrials.gov/show/NCT04646031"
85,"NCT04537338","Evaluation of the Immune Response to SARS-CoV-2 Among Patients With Covid-19 in Costa Rica","Not yet recruiting","No Results Available","COVID-19","Genetic: 1. Characterize the immune response after infection with SARS-CoV-2","Agencia Costarricense de Investigaciones Biomedicas|Caja Costarricense de Seguro Social|Fundación INCIENSA (FUNIN)|Ministerio de Salud de Costa Rica|Institutos Nacionales de Salud, USA Instituto Alemán del Cáncer|Agencia Costarricense de Investigaciones Biomedicas (ACIB)","Observational",,,"https://ClinicalTrials.gov/show/NCT04537338"
86,"NCT04347915","The Phase 2 Study to Evaluate the Safety and Efficacy of Clevudine in Patients With Moderate COVID-19","Recruiting","No Results Available","COVID-19","Drug: Clevudine|Drug: Placebo","Bukwang Pharmaceutical","Interventional","Korea University Guro Hospital, Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT04347915"
87,"NCT04523090","Catalysing the Containment of COVID-19","Recruiting","No Results Available","Covid19","Drug: Nitazoxanide|Drug: Placebo","University of Cape Town|Medical Research Council, South Africa|Aurum Institute|National Institutes of Health (NIH)|Texas Tech University Health Sciences Center|University of KwaZulu|Perinatal HIV Research Unit of the University of the Witswatersrand","Interventional","University of Cape Town, Cape Town, Western Cape, South Africa",,"https://ClinicalTrials.gov/show/NCT04523090"
88,"NCT04333407","Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.","Recruiting","No Results Available","COVID-19","Drug: Aspirin 75mg|Drug: Clopidogrel 75mg|Drug: Rivaroxaban 2.5 MG|Drug: Atorvastatin 40mg|Drug: Omeprazole 20mg","Imperial College London","Interventional","Charing Cross Hospital, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04333407"
